variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-87.756211725,-87.41505000000001,1.9455286420134839,1.743092819999988,-91.41001999999999,-85.26073000000001,1.0016883091972553,4579.539656528156,6821.68931049419
tau,0.017357061523125,0.011938500000000001,0.015756750540897316,0.003604289556000002,0.0079940025,0.0547425,1.0114190744106,976.4092136689642,625.9951084635076
eps,0.032872138858044624,0.02810385,0.023793871874042846,0.02592059232,0.0024698565,0.07634658999999996,1.0040677549761703,2216.9552857912718,3050.614221635536
d1,0.23661967039375,0.238713,0.042864623261342695,0.0361910073,0.154449,0.3018243499999999,1.0084983827167562,1032.1121506907823,612.9347339162637
k_12,0.404020413964375,0.3834845,0.18377232035067292,0.1801447956,0.1424538,0.736186,1.0009660941127112,5677.802712683598,5787.1280854417
d2,0.63697619625625,0.60429,0.24724257357126997,0.23727826919999997,0.29328930000000003,1.0919444999999999,1.0011672043781932,5302.569555398378,4880.480584715175
k_2,0.39209277071875,0.3926595,0.09172924628458434,0.09016950809999999,0.2401841,0.54375835,1.0002498940265672,6289.321533309757,5492.122438199736
S0,0.1922659718125,0.1920505,0.024549241152741694,0.024717165899999987,0.15208785000000002,0.23251315,1.0029974257367744,2644.4051887679143,3275.195572026108
"y_hat1[1,1]",0.1891065575,0.189283,0.025165251059499173,0.02525831489999999,0.14713299999999999,0.22980129999999999,1.0044390092678626,1849.1740927361313,2068.703100123747
"y_hat1[2,1]",0.16186913479375,0.16727,0.03339197576955008,0.0269736831,0.08919472,0.20597249999999998,1.008462551972149,974.4624109250724,601.1768440648272
"y_hat1[3,1]",0.14042028629375,0.148925,0.03780633244472593,0.027073758599999997,0.05153017,0.18584340000000002,1.0085105987371044,954.3232622413382,587.24302864192
"y_hat1[4,1]",0.122860573004375,0.132645,0.03896595509573519,0.027021867600000006,0.029575965000000003,0.168726,1.008441854084543,957.1841506830613,596.0737777965949
"y_hat1[5,1]",0.1081175278189375,0.1180875,0.03839305606894859,0.02718895661999999,0.016928770000000003,0.15340130000000002,1.0087951932827104,961.084381297882,602.825313184492
"y_hat1[6,1]",0.095532642328375,0.10509,0.03694856828560712,0.027293924699999993,0.009809937000000001,0.13969405000000001,1.0095514535951562,966.4100225871051,612.066911051406
"y_hat1[7,1]",0.08466953259559375,0.09352555,0.035087869806093366,0.02720192937,0.00567412,0.127819,1.0098886754304426,970.6212930906242,616.4036132394115
"y_hat1[8,1]",0.07521954135179375,0.08329165,0.033054111180752306,0.026822235510000007,0.00327843,0.11705814999999999,1.010380983271655,974.2158156750011,626.2318989761616
"y_hat1[9,1]",0.066952593842475,0.07415975,0.0309794603767781,0.02643372018000001,0.0018968205,0.10730005000000001,1.010672116608973,976.5869983820799,630.3687140344125
"y_hat1[10,1]",0.059690082092165,0.065909,0.028936537577620408,0.025885084050000014,0.00109525,0.09846195499999998,1.0107576091692165,977.910644386362,629.4531418737723
"y_hat1[1,2]",0.198823240875,0.19761849999999997,0.02275371897793715,0.02235538409999995,0.16339465000000003,0.23825654999999998,1.0016158724068807,5157.647752780914,3130.5823026019407
"y_hat1[2,2]",0.799540289875,0.792476,0.07593403084021567,0.07125820380000003,0.6889387,0.94069385,1.0062380269931483,1523.261406760859,1327.454585849475
"y_hat1[3,2]",0.7701456910625,0.7682035,0.0606709764062006,0.06020467949999994,0.6747004999999999,0.87366665,1.0036720635574372,2552.143759662469,2983.67434448173
"y_hat1[4,2]",0.6929050021875,0.692968,0.04378860496524733,0.04387606439999993,0.62183225,0.7642572499999999,1.0001903172239761,12477.945846627143,10354.92234495533
"y_hat1[5,2]",0.6233696336875,0.6250184999999999,0.037236652696444536,0.03616432049999997,0.5600706000000001,0.6823793499999999,1.0031960743453354,2605.4955427707073,2321.937649742989
"y_hat1[6,2]",0.56480044825,0.5672695000000001,0.03300971948397127,0.03029396580000013,0.50380095,0.6142762,1.0055794012724364,1581.5259987667994,1200.0518733016906
"y_hat1[7,2]",0.5152707609375,0.5175405,0.028056468087631035,0.026024077800000017,0.46418044999999997,0.5579041499999999,1.0055996667770435,1605.403390456275,1358.616365870912
"y_hat1[8,2]",0.4728900780625,0.4735935,0.023357859681369022,0.022852796400000014,0.43299575,0.51035315,1.003280754011381,2782.377358735813,3269.548008984839
"y_hat1[9,2]",0.4362543238125,0.436282,0.020903585041457173,0.02053326869999998,0.4015069,0.47093565,1.0000156231995085,12187.837275808895,11745.340598974179
