variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-33.2733122,-32.947900000000004,1.9429159967563736,1.7969853299999994,-36.8573,-30.770194999999998,1.0004549670161962,5902.443272021425,7196.486171017175
tau,0.0286385855,0.028379500000000002,0.004263566447909043,0.004220813940000004,0.02210516,0.03599249999999999,1.0006735971375291,8491.781940930512,8609.889293205279
eps,0.14450586886875,0.14047300000000001,0.04127719005937091,0.039909368100000016,0.08342963499999999,0.21802275,1.0014235839821533,6414.106253551515,8278.099151196147
d1,0.4957441846875,0.4858345,0.08767686181301507,0.08431768590000002,0.36940315,0.6545410499999998,1.0013263279648987,6836.28460534924,8746.067843307896
k_12,0.336446425406625,0.307309,0.17848397056453663,0.17159019359999997,0.09996659,0.67833795,1.0001046199018633,6330.671975476281,6553.710775581026
d2,0.5545391738125,0.5189495,0.22762993016615904,0.2192179773,0.25216250000000007,0.9905035499999997,1.0002510245297729,6526.809337974057,7225.817266626754
k_2,0.38104954015,0.3813205,0.09505385226567326,0.0941725281,0.2257631,0.53913035,1.0000556628685486,8428.94682418715,5743.523381167967
S0,0.4210326196875,0.4193445,0.05189382898665053,0.05250108989999997,0.339089,0.5094884000000001,1.0010416732783847,7596.694607386423,9896.795583504458
"y_hat1[1,1]",0.409042947625,0.407655,0.04956735855356835,0.05007852149999998,0.33071525,0.49340719999999993,1.0010213056133197,7694.002040813482,9929.09585131783
"y_hat1[2,1]",0.3067124789375,0.306282,0.033031501677739376,0.0330642039,0.25293755,0.36191339999999994,1.0007211044861706,9445.977913438597,10599.260067137333
"y_hat1[3,1]",0.2303928781875,0.230403,0.025237433873878362,0.0248535651,0.18820835,0.27206729999999996,1.0003205773876047,12726.552186506591,10804.345053980303
"y_hat1[4,1]",0.173368534175,0.173778,0.021755589881547237,0.021354629099999998,0.13694075,0.2089345,1.0001013018448281,15286.049017139929,10354.555953508225
"y_hat1[5,1]",0.13068445823125,0.13102950000000002,0.01970850596362503,0.01958514600000003,0.09764758500000001,0.1629283,1.0000650447645876,15014.951245640914,10374.150412049376
"y_hat1[6,1]",0.098677774075,0.0987394,0.017905827025053077,0.017955175559999998,0.06913858,0.12841355,1.000106987536551,13834.600805279546,10721.101073875076
"y_hat1[7,1]",0.07463560083125,0.07445684999999999,0.016054070541119,0.01620363192,0.048898835,0.10165184999999999,1.0001737362988423,12700.397612170344,10738.89205114339
"y_hat1[8,1]",0.05654494069375,0.056075700000000006,0.014166427512186674,0.014325548370000009,0.03431721,0.08072759499999999,1.0002322895585107,11689.307038665764,10595.690508455067
"y_hat1[9,1]",0.042909412033125,0.04215465,0.012321357536775107,0.012429228840000004,0.024021534999999997,0.06432671,1.00028284975727,11002.290841472064,10433.218513131718
"y_hat1[10,1]",0.03261465718,0.03171645,0.010587607755852189,0.010565600639999999,0.01678779,0.05138001,1.0003284053895547,10637.73614687036,10035.07321347269
