variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-24.8606257625,-24.5356,1.7387685480319888,1.5509478599999986,-28.2045,-22.6876,1.0003739765885986,6493.648457160502,8981.698060604007
tau,0.02978976760625,0.0295107,0.004471547375038418,0.004245350970000002,0.02289289,0.037498665,1.0004287567204158,7211.36635611243,7305.187760801049
eps,0.1306034028875,0.128878,0.03227268006135124,0.031113843599999986,0.080156895,0.18646719999999997,1.0005888006252597,5827.071545099952,6057.492388256895
d1,0.460955128,0.4562155,0.06858882085737644,0.06628704599999996,0.35719855,0.5811447000000001,1.0004321763874717,6418.525656879137,7629.7443947575675
k_12,0.3846954475,0.3750635,0.11429251078184943,0.11545673370000001,0.2164455,0.5885297499999999,1.0000530363236806,6616.754398759978,7565.588638877506
d2,0.4888386450625,0.475806,0.1428119821136436,0.14447640479999996,0.27786754999999996,0.7432017499999999,1.0000685161953808,6628.209766398916,7412.283645907687
S0,0.421691063625,0.420985,0.051143535830802035,0.05167676430000001,0.3395586,0.5078759999999999,1.0003898293717104,6638.675864507355,7943.670076031089
"y_hat1[1,1]",0.409211517,0.408628,0.048781578756666284,0.049380216900000024,0.33076485,0.49103515,1.0003758098405593,6739.971965958257,8007.419896479179
"y_hat1[2,1]",0.3033570663125,0.3031395,0.03236402363063248,0.032244326100000005,0.25007850000000004,0.35676815,1.0002677403751112,8524.314397465207,9606.122954624061
"y_hat1[3,1]",0.2253237048125,0.225354,0.025000783782654416,0.024755713499999984,0.18367139999999998,0.26602204999999995,1.0001443675350843,12111.461375113571,10497.047517146866
"y_hat1[4,1]",0.1676837233125,0.168097,0.02174561840457245,0.021546625799999986,0.1309176,0.2029823,1.0000915462231357,14254.949965605001,10041.512411244852
"y_hat1[5,1]",0.12502356651875,0.125388,0.019681835667309446,0.019788262199999997,0.09204214000000001,0.15660725,1.0001527325879493,13804.50320761043,10094.840019204945
"y_hat1[6,1]",0.09338912874375,0.0934814,0.01775391233603587,0.01782174155999999,0.0639686,0.12232515000000001,1.0002119315099578,12614.05024033458,10011.272285430465
"y_hat1[7,1]",0.06988628454375,0.06960455,0.01576280070146574,0.01582549479,0.04423622,0.09621757999999998,1.000259791917003,11175.433647585241,9937.49762014999
"y_hat1[8,1]",0.0523921970925,0.0518032,0.0137625463267699,0.013796779079999998,0.030613015,0.075925565,1.0002949306448343,10235.054113990233,9896.281141804984
"y_hat1[9,1]",0.03934676535125,0.038610950000000005,0.011842952547836084,0.011848346160000007,0.021115185,0.059929295,1.0003205559486497,9598.002144077685,9879.914830464302
"y_hat1[10,1]",0.029601159485,0.028795750000000002,0.010070974154925659,0.00994787535,0.014552525,0.04749992499999999,1.0003379840432656,9170.406000185367,9958.765181008157
"y_hat1[1,2]",0.4359202398125,0.43654550000000003,0.0477868757440852,0.047859810600000004,0.35728000000000004,0.5141632500000001,1.0005717938793077,5615.036572928065,6655.859553812349
"y_hat1[2,2]",0.9834373579375,0.981687,0.07065832207428553,0.07144427010000003,0.87003845,1.1014339999999998,1.0000895128702958,14484.348857267712,12410.954369668116
"y_hat1[3,2]",0.8106970625,0.8101579999999999,0.049440714747629975,0.04995027660000012,0.73049335,0.8931330499999999,1.0001568298210615,13980.179885965843,12745.451757102803
"y_hat1[4,2]",0.67551048225,0.6752425,0.035623683934601386,0.03581294430000007,0.61767295,0.73405435,1.0003130581268815,13026.070734962015,13034.127538132683
"y_hat1[5,2]",0.5752704385,0.5749175,0.02787721892115301,0.027827660700000072,0.5300658500000001,0.621525,1.000571065973956,12784.816054235753,12707.01964774612
"y_hat1[6,2]",0.500895338625,0.500865,0.023397267359051784,0.023355397800000025,0.4629174,0.53996625,1.000528617043967,13956.546920191027,12170.249739835699
"y_hat1[7,2]",0.4456057071875,0.445489,0.021122882115273755,0.021255294900000003,0.4109758,0.48091005,1.0002459025292465,15939.832612541455,12298.550022052365
"y_hat1[8,2]",0.4044250278125,0.40417349999999996,0.020690025024577275,0.02076307169999992,0.3704244,0.4388834,1.0000711878506288,16421.135963219625,13264.888149956087
"y_hat1[9,2]",0.37369484675,0.37359,0.021674619443424272,0.021608895000000006,0.3381427,0.40970840000000003,1.0000124052946409,14309.230831246847,12837.122546659219
"y_hat1[10,2]",0.35072040675,0.3507825,0.023511137670463002,0.023276078699999966,0.3121498,0.38942245,1.0000375783607087,12036.610675459535,11269.74699202971
"y_hat1[1,3]",0.07588918865,0.0743621,0.020021237575029476,0.02026640069999999,0.04561314,0.1115042,1.0000081254142663,6990.201961673436,8108.252555646454
"y_hat1[2,3]",0.7711739016875,0.7711725,0.047901550610051497,0.047697465899999944,0.69163735,0.8495509,1.00005929734621,12766.4234719235,12260.986372779329
"y_hat1[3,3]",0.6646776115,0.6646345,0.035712839387873015,0.03527994959999997,0.6060434,0.72345695,0.9999085719331249,15204.704716655728,12978.017901370196
"y_hat1[4,3]",0.55281749625,0.5525445,0.030280552731113037,0.030311015699999964,0.5035577,0.6028581500000001,0.9998775786198375,14066.327149146387,12438.630687359939
"y_hat1[5,3]",0.468660154625,0.46854700000000005,0.027811831243904316,0.027697933200000087,0.42367975,0.51473705,0.9999316795952269,14069.831456346048,12547.871011169535
"y_hat1[6,3]",0.4061473185,0.406001,0.026384913466088365,0.026032232100000007,0.36349580000000004,0.45011765,0.9999487040974889,14737.22122490464,12706.122052357865
"y_hat1[7,3]",0.359673260875,0.359426,0.025444625451636987,0.025229404199999965,0.3186021,0.40234644999999997,0.9998992127533746,15316.772720145058,13182.486084383612
"y_hat1[8,3]",0.3250605864375,0.3248815,0.02501574250204432,0.024683807399999994,0.28463679999999997,0.3673512,0.9999787327066736,15208.759071071787,12749.492387760201
"y_hat1[9,3]",0.299233433625,0.29881650000000004,0.025135106446713126,0.024880251899999924,0.25874800000000003,0.34134939999999997,0.9999889742893439,14400.910964368468,12053.199392178662
"y_hat1[10,3]",0.27992605575,0.27937049999999997,0.025722171191310164,0.025555576200000003,0.23878680000000002,0.32340435,1.000012016344147,13206.024305955798,12518.954170894576
logLikelihood[1],-1.975019148299375,-1.802485,1.0932900569333743,1.008234717,-4.032395,-0.5193801500000002,1.000606151823093,5639.895133286899,6060.441580086738
logLikelihood[2],3.252525486479375,3.492575,0.8480319661398423,0.6743457839999998,1.564803,4.140562999999999,0.9999124135291364,13080.811687260733,12802.56745012773
logLikelihood[3],3.927679771375,4.071455,0.49650279429301897,0.3421989059999999,2.944216,4.4133005,1.0000127639285459,12616.104811778012,13330.372616924673
logLikelihood[4],3.78520073125,3.829145,0.21646341900365218,0.19267869599999976,3.3720470000000002,4.04778,1.0000110089334433,12946.294583250807,12460.332923607793
logLikelihood[5],3.39770984532925,3.5469850000000003,0.9771689216609233,0.9211467929999999,1.5633205000000001,4.7145410000000005,1.000630308555792,12665.401433599875,12822.168769415432
logLikelihood[6],2.9818049499375,3.032115,0.44380331446161103,0.4261511309999998,2.185651,3.6155565,0.9998558995361089,14779.367888253631,13683.609485564146
logLikelihood[7],3.983390676900375,4.283585,1.3147868331990566,1.1667468959999987,1.38635,5.5384645,1.0002971958841063,11791.665069333972,9691.375571475486
logLikelihood[8],3.84976399125,3.88702,0.2476539089087729,0.23353173899999943,3.389856,4.1824975,0.9999001550350233,15259.62139091075,12436.648878899277
logLikelihood[9],3.8753458125,3.90418,0.11504511787033363,0.08166902100000006,3.646576,4.002041,1.000155717977206,11967.706968255623,12328.883874287665
logLikelihood[10],4.93360900494375,5.19326,0.8145723891084176,0.5734845059999994,3.3056565000000004,5.7057125,0.9999905356793407,12626.089941542983,11618.186149288418
