variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-32.77875801875,-32.4864,1.8190584040347029,1.721669250000001,-36.145480000000006,-30.386795,1.0005684881477295,4352.004163042726,6508.131364739669
tau,0.201865738325,0.1332875,0.18640017731793032,0.08538767832000001,0.056280935000000004,0.5976890999999999,1.0008191018028938,4240.268661235215,6845.170754982043
eps,0.31702404326125,0.3112235,0.11068927750861308,0.11018683199999997,0.1447978,0.5089023500000001,1.0007580095774644,4229.091801842304,3299.3845615099285
d1,0.597391430775,0.5931770000000001,0.19960915200308466,0.1990405326000001,0.2732629,0.93320045,1.000964224952478,4248.3575635473635,3125.726299118359
k_12,0.2834664458375,0.24909150000000002,0.1340305188193754,0.11018238420000001,0.13110755000000002,0.5538038999999998,1.000960841347994,3967.5274277881877,6356.053006186509
d2,0.0858663341375,0.0749368,0.04386932489173095,0.036349497239999994,0.035678680000000004,0.17330474999999998,1.0010153265393107,3879.978506309586,6069.076294951782
S0,0.488036492125,0.48784700000000003,0.09136169199707131,0.09101607269999998,0.3396174,0.6385149,1.0000866346675956,7135.109190002026,6445.770389342473
"y_hat1[1,1]",0.4046001124375,0.4069375,0.09759998693258223,0.09767442929999996,0.23804225,0.5609520999999998,1.0004998089450916,4313.413401831607,6986.740152360703
"y_hat1[2,1]",0.20069881952800186,0.2084675,0.1134900762716962,0.1293360936,0.013666015,0.3799953499999999,1.0009123596081586,3693.0279859169173,7014.839288913073
"y_hat1[3,1]",0.11653110630822297,0.1087275,0.08979820165595463,0.11217670359,6.947874e-4,0.27427185,1.0009224423636434,3833.0162862781744,6910.445620638217
"y_hat1[4,1]",0.07238919052849663,0.0561802,0.06799523387509383,0.074886311325,3.505498e-5,0.2028663999999999,1.0009300624611142,3928.8634646160285,6823.210581658324
"y_hat1[5,1]",0.04685100456203101,0.02889175,0.051275841465485264,0.0420737105754,1.8062295000000002e-6,0.1510804,1.000934151035936,3986.5264975220634,6876.780550829838
"y_hat1[6,1]",0.03121698599582147,0.014807649999999999,0.038864957675080525,0.021917181432509994,9.7997145e-8,0.11310859999999999,1.0008703258773186,4027.5828397675355,6977.424278585824
"y_hat1[7,1]",0.02127212147398673,0.0076402499999999995,0.029688099367993073,0.011326319722197898,7.440510500000005e-9,0.08502664999999998,1.0008832302846626,4082.4023871844647,7149.246638112302
"y_hat1[8,1]",0.014762814706228835,0.00394161,0.022872990251049344,0.00584378256265314,9.147195500000004e-10,0.064196955,1.0009133021320593,4058.8940844910812,7033.819778351813
"y_hat1[9,1]",0.01040477030473533,0.002024095,0.017775982013762886,0.0030009202741053055,2.2823405000000005e-10,0.048126904999999984,1.000846183877112,4072.743976129499,6531.296715754515
"y_hat1[10,1]",0.007432070628576228,0.00103423,0.013933706532187378,0.0015333488973815774,3.9490240000000046e-11,0.036362745,1.000794835103931,4113.073247613977,7296.516501661445
"y_hat1[11,1]",0.005371921073827367,5.307265e-4,0.011013925545935948,7.868550169669392e-4,-6.810050499999953e-12,0.027473254999999985,1.0007001824989565,4174.38018752872,7740.446815220348
"y_hat1[12,1]",0.0039243591305007115,2.74772e-4,0.008777562230885048,4.07377102304223e-4,-2.0235374999999996e-10,0.02070489499999999,1.000835958702241,4236.402838255069,8765.304734249166
"y_hat1[13,1]",0.0028947399084714976,1.41375e-4,0.007051458081287779,2.0960347347264989e-4,-5.109609499999998e-10,0.015654949999999973,1.0008031481893849,4257.923040851813,9131.61641606957
"y_hat1[14,1]",0.0021543279612052098,7.244685000000001e-5,0.005709247316061404,1.07412049308459e-4,-7.7573135e-10,0.011840614999999992,1.0005951972163343,4234.768776112912,8378.754332335306
"y_hat1[15,1]",0.0016165646282178148,3.741235e-5,0.004657982636681899,5.547343358571e-5,-1.1805294999999993e-9,0.008965564999999995,1.0008437480843266,4383.600330751136,9287.397040766766
"y_hat1[16,1]",0.0012224086239936995,1.9240949999999997e-5,0.0038287736796550403,2.853820932986099e-5,-1.6895529999999991e-9,0.00673587149999999,1.00082831669915,4389.672251929563,8299.715516618357
