variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-22.870166825,-22.5355,1.7582494535217321,1.5674788499999996,-26.176575000000003,-20.6783,1.000705673366069,6425.2751510990365,8438.182653467022
tau,0.05151442009375,0.050220299999999995,0.009897402182167,0.009103238129999996,0.037859735,0.06945976,1.0002767717045777,10531.751379899462,9074.380378139333
eps,0.16813861559375,0.165576,0.030181645393174535,0.029163483299999987,0.12324865,0.22197795,1.00040689816003,8426.232749503439,9065.41424221045
d1,0.4439409584375,0.439858,0.05956235143071047,0.05723132520000004,0.3533075,0.54898805,1.0006095365212309,7770.607862694208,8486.836703241062
k_12,0.36658337538125,0.35782749999999997,0.11340645099847427,0.11544116639999993,0.19825275,0.5696072499999999,1.0004498918477955,7360.643746363861,8402.19318762754
d2,0.4919123795,0.48067950000000004,0.14913734543244156,0.15271817819999994,0.267708,0.75819225,1.0006379438071393,7263.4083822607,8381.965092532208
S0,0.4910157436875,0.49086949999999996,0.023609719792860948,0.023574081299999935,0.45279495,0.52992325,0.9999837019166394,10858.557825881488,10220.689812581506
"y_hat1[1,1]",0.4663640538125,0.4663225,0.022468236660310167,0.022506609299999977,0.43012449999999997,0.5031306,1.0000400788797008,10559.296707156236,10526.531400595344
"y_hat1[2,1]",0.28008012525,0.281886,0.03098122594140667,0.03039774779999999,0.22613935000000002,0.32790129999999995,1.0005266881400074,10061.370776712103,9897.502973720044
"y_hat1[3,1]",0.169714809675,0.17091299999999998,0.03298171846544281,0.033164279399999996,0.11357175,0.22238644999999999,1.0003502398023851,10262.390560090676,9266.323803347255
"y_hat1[4,1]",0.10369267155125,0.103537,0.028767684476348216,0.029270378759999997,0.056696065,0.15192545000000002,1.0002942176227962,10349.6923432622,9254.206829194432
"y_hat1[5,1]",0.063843909390625,0.06268095000000001,0.022929000682137924,0.023222630969999998,0.028374055,0.10388679999999997,1.0003335098200508,10396.187246101925,9297.592716667188
"y_hat1[6,1]",0.03959321886425,0.037917549999999994,0.01742356191641374,0.017404612049999997,0.01415342,0.07117103999999999,1.0003242979068627,10424.708463596007,9310.89590720014
"y_hat1[7,1]",0.0247209142330625,0.02293425,0.012877542343873338,0.012502246889999999,0.007078254000000001,0.048743319999999986,1.0003007842979386,10443.44710050149,9297.11919145839
"y_hat1[8,1]",0.01553408593556875,0.0138681,0.009357337445257335,0.008705930981999998,0.0035303725,0.03332178499999999,1.0002463236330743,10456.433197233971,9325.385240524043
"y_hat1[9,1]",0.00982060409865625,0.008397195,0.00672770279429998,0.005934336302999999,0.0017599660000000002,0.02282548,1.0002825151240191,10464.695954092946,9297.094140226953
"y_hat1[10,1]",0.0062444236172325,0.00508573,0.0048054161179040406,0.003979654224,8.792339e-4,0.015615899999999993,1.0002699797518155,10471.823647655683,9226.61402346569
"y_hat1[1,2]",0.5211100789375,0.521094,0.025446439978446492,0.025124139599999942,0.4800898,0.5631375499999999,1.0000467023812725,9639.486330196287,10466.059667609383
"y_hat1[2,2]",1.0866956636875,1.086365,0.076224474103371,0.07674678900000009,0.9619462000000001,1.2131179999999997,1.0004545415684565,11771.843925795452,11631.849506517592
"y_hat1[3,2]",0.8134838688125,0.8134125,0.05685799277614371,0.05689477499999999,0.7211317500000001,0.90785715,1.0002153549161785,15448.574156025285,11988.816349313329
"y_hat1[4,2]",0.642383742625,0.6421445,0.04783627928762216,0.04793764709999994,0.56360845,0.7212221,1.000139494361098,15664.212290191896,11096.035641038377
"y_hat1[5,2]",0.5398473434375,0.5395105,0.04096059099065689,0.04151131739999999,0.4730524,0.6073331,1.0002359479179201,15518.325047366958,10371.1786628769
