variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-113.1664344375,-112.8095,1.5417758285077128,1.3209965999999973,-116.18005000000001,-111.389,1.0008273225110873,4532.256086643033,6213.449120187736
d3,0.06792016643125,0.06762745,0.007180752154491654,0.00719528018999999,0.05664969,0.08042407,1.0011408516904374,5345.48874367841,5012.319217562357
k_32,0.07672964285,0.07641595,0.009689085583810375,0.009545794230000001,0.061203545,0.09300916499999999,1.000383830166911,6251.157080041214,6936.940010789906
d2,0.5123807113125,0.5128425,0.047633008972492834,0.04806292679999996,0.43386474999999997,0.5899114999999999,1.0002941200502724,6227.3055178172845,6400.525078750097
S0,0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[1,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[2,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[3,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[4,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[5,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[6,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[7,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[8,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[9,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[10,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[11,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[12,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[13,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[14,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[15,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[16,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[17,1]",0.05689980895625,0.05667325,0.005850299622919029,0.005887923509999998,0.047752745,0.067133655,1.0011654492058646,5315.288273029115,4806.578592522985
"y_hat[1,2]",0.05499108193125,0.0547973,0.0054569619155322695,0.005498222099999999,0.046420965,0.06450675,1.0011647070584722,5316.042683438833,4821.567171284349
"y_hat[2,2]",0.5534066154375,0.553747,0.031045129906900983,0.031618668900000035,0.50186245,0.6048284,1.0011424648938494,5379.956447784132,5008.6051072405735
"y_hat[3,2]",0.73342964725,0.7343744999999999,0.02231610813664292,0.022396155600000012,0.6951835500000001,0.768731,1.0010373318555708,5762.44066900932,5545.425939177661
"y_hat[4,2]",0.7991911314375,0.799767,0.014405999574778592,0.014181810300000005,0.77459185,0.8220129,1.0007279341971642,7528.962824937429,7269.297141540496
