variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-57.798312375,-57.47280000000001,1.7239152149830013,1.5723714299999987,-61.028035,-55.626685,1.0000640296825871,6173.34723002204,10006.149197807179
tau1,0.0510247145875,0.0506794,0.0055537259197831965,0.00554885289,0.042570720000000006,0.06081644499999999,1.0001812648110313,10759.822009886311,9787.533445598265
d1,0.0486567913125,0.048418699999999995,0.005173871965049382,0.005199255809999993,0.040649450000000004,0.05762570499999999,1.0003323016331451,10983.260500242046,10041.345203760558
k_12,0.476145080625,0.4764315,0.023977225600874244,0.023714928299999993,0.4366245,0.5156258,1.0000867855818796,13862.908974164298,10683.843585736307
h_12,7.3639778925,7.343484999999999,0.6553491225131701,0.6489859109999986,6.309613,8.457343,1.0003851902156202,11872.025585893227,10501.879437595639
d2,0.07093623013125,0.0707164,0.006289595126293685,0.006349382760000006,0.061018134999999994,0.08158412500000001,1.0007597922850495,12185.440090835695,10588.507300613464
S0,0.09692912726875,0.09675485,0.005539420511843385,0.005493255389999985,0.08809512,0.10641805,1.000195014039717,13604.442296038016,9552.551719497338
"y_hat[1,1]",0.09209909866875,0.0919537,0.005115174283337828,0.005089988190000004,0.08394114,0.10073119999999999,1.0002558301749387,13753.685609483891,10008.246435780551
"y_hat[2,1]",0.0429415281125,0.0428226,0.0037881795565580354,0.0037911564600000046,0.036950405000000006,0.049387985,1.0004776475814394,11173.129833395951,10220.747324930197
"y_hat[3,1]",0.02015785425,0.020020450000000002,0.003230151758638002,0.0032827729200000043,0.015083915,0.025641745,1.0003422470239032,10669.79651499502,10023.280101099845
"y_hat[4,1]",0.0095249306225,0.00935753,0.0022572314602507613,0.0022904983920000012,0.00607975,0.013482925000000002,1.0002967228878998,10623.663849427741,10173.385178332957
"y_hat[5,1]",0.00452938494375,0.00438165,0.001425698290332456,0.0014201528880000002,0.002446757,0.007097228499999998,1.0002708405420808,10634.340754643088,10129.492913128395
"y_hat[6,1]",0.0021671509008125,0.0020487500000000002,8.522770908025405e-4,8.288401169999999e-4,9.84651e-4,0.003739371,1.0002534759723392,10648.32176978652,10095.256400074406
"y_hat[7,1]",0.0010431039251375,9.590765e-4,4.931114662787731e-4,4.6467945720000004e-4,3.9502575000000006e-4,0.0019765725,1.000242203009636,10660.800119416046,10128.62234341168
"y_hat[8,1]",5.0497787951875e-4,4.483185e-4,2.7952330166659334e-4,2.5108498170000004e-4,1.5881945000000003e-4,0.0010428719999999994,1.0002344449690104,10670.849724853906,10063.248818946482
"y_hat[9,1]",2.4583592717e-4,2.096415e-4,1.5637219946456222e-4,1.327987059e-4,6.384660000000001e-5,5.496570499999997e-4,1.0002280034865467,10678.187718869896,10062.882749412594
"y_hat[10,1]",1.2032888014e-4,9.790305e-5,8.67325376661632e-5,6.890405739e-5,2.5611305e-5,2.900464e-4,1.0002227104070007,10683.655815517062,10029.278781405505
"y_hat[11,1]",5.92075471940625e-5,4.5751649999999994e-5,4.7844066946039964e-5,3.523673181e-5,1.0268520000000001e-5,1.5296484999999997e-4,1.0002182429131046,10690.223939707343,9996.360151596808
"y_hat[12,1]",2.92832816731875e-5,2.13793e-5,2.6305048443920807e-5,1.7879259026999996e-5,4.1264255e-6,8.074548499999993e-5,1.0002264875636455,10696.654600836619,9914.95948006196
"y_hat[13,1]",1.455475874116875e-5,1.00004e-5,1.4436884020868925e-5,8.974518798e-6,1.6582964999999999e-6,4.2646539999999975e-5,1.0002319867111527,10700.729741129819,9931.208513888003
"y_hat[14,1]",7.2691229801e-6,4.678795e-6,7.917959916693818e-6,4.462529631e-6,6.672829999999999e-7,2.2489154999999998e-05,1.0002310086079125,10704.976048418774,9931.19607545971
"y_hat[15,1]",3.64753778062625e-6,2.1905700000000003e-6,4.343321695836808e-6,2.2019367635999997e-6,2.6878090000000004e-7,1.1860335e-5,1.0002267469691997,10709.406361841888,9931.171198724642
"y_hat[16,1]",1.838576045980625e-6,1.024445e-6,2.3842641722887555e-6,1.0793624520000002e-6,1.0797395e-7,6.264802999999994e-6,1.0002301033806034,10710.879176566063,9850.690939845204
"y_hat[17,1]",9.312180112633125e-7,4.796809999999999e-7,1.3105997098742275e-6,5.281806978e-7,4.3657325000000006e-8,3.3139159999999997e-6,1.000248368508225,10713.578825099232,9850.690939845204
"y_hat[1,2]",0.0922093911125,0.09204695,0.005134432367025881,0.005095770330000006,0.08402718499999999,0.1009713,1.000190498861717,13643.52551123592,9476.211307317033
"y_hat[2,2]",0.6987598605,0.6984845,0.0252040445316761,0.025093005000000033,0.65782605,0.7407743500000001,1.0000307595975622,14521.378564854525,11240.145709977513
"y_hat[3,2]",0.6429109879375,0.642903,0.01703879688425054,0.01710623879999999,0.6148609,0.6709877,1.000274577856879,17179.295764646522,13472.473128242615
"y_hat[4,2]",0.4542061315625,0.45432,0.01596485479018,0.015944621699999998,0.42797465,0.48036435,1.0001783241838915,17270.40700876778,13588.513616094053
"y_hat[5,2]",0.287499685,0.28747849999999997,0.015440607074418307,0.015396059699999945,0.26200855,0.3132294,0.9999346664803366,16109.599484273549,13783.749412264993
"y_hat[6,2]",0.1714058269375,0.171301,0.012918409982303987,0.012937167599999974,0.15051480000000003,0.19298025000000002,0.9999327952914906,15500.724898687828,13232.036516463293
"y_hat[7,2]",0.098455448225,0.0982489,0.009695382883393212,0.009702949830000003,0.083035675,0.1148541,0.9999512391769971,15089.76132265862,13104.559923077639
"y_hat[8,2]",0.05515264955625,0.05490185,0.006766561843438928,0.006781412400000002,0.044579885,0.066812795,0.9999625329188772,14742.032533641946,12686.332034412226
"y_hat[9,2]",0.0303515263875,0.030126899999999998,0.004492203798464945,0.004469816609999999,0.023474580000000002,0.03817643,0.9999726719071116,14428.054540203362,12713.424998882292
"y_hat[10,2]",0.016486974025625,0.016300250000000002,0.0028776597280591753,0.002842663110000002,0.012174885000000002,0.021540055,0.9999774873444518,14123.711768002597,12441.159335644372
"y_hat[11,2]",0.008868720418125,0.008718924999999999,0.0017954938776567682,0.0017501055180000002,0.006230444,0.012059264999999996,0.9999829376777404,13829.67645054733,12282.171862774687
"y_hat[12,2]",0.004735449196875,0.00462327,0.0010982731341952715,0.0010517712660000008,0.003161147,0.006719300499999998,0.9999883867803352,13553.780559976467,12287.818402345854
"y_hat[13,2]",0.002514166801,0.00243419,6.616438461423197e-4,6.212464650000002e-4,0.0015925795,0.003721118499999999,0.9999942516257846,13291.660340142958,12451.80828823177
"y_hat[14,2]",0.0013290530665625,0.0012739399999999999,3.9391413845119217e-4,3.5987149799999985e-4,7.9616705e-4,0.0020532130000000003,0.9999988571193493,13054.42702132357,12477.718404702813
"y_hat[15,2]",7.00273213625e-4,6.641545e-4,2.3237456126260785e-4,2.059613093999999e-4,3.960697e-4,0.0011287234999999994,1.000003582491513,12835.127065332474,12033.3234524545
