variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-51.91389255625,-51.58365,1.902945619676816,1.76169945,-55.497235,-49.43045000000001,1.0009700264294494,5661.46552358972,8964.944519159028
tau,0.04487984065,0.04442825,0.006291683360121743,0.006223361759999999,0.03547827,0.05592552,1.00014842719581,8194.85437970174,8819.757783647934
k_1,0.0977307034375,0.09604885,0.021507753540514072,0.02102727102000001,0.06556508500000001,0.13578145,1.0005078780738665,4359.380781609078,7426.968983628473
deg_1,0.3322006200625,0.3302055,0.04444468307130974,0.04375152600000001,0.2631425,0.4079595,1.0004775933308638,5419.676165653359,7145.287802249892
k_12,0.34454376501875,0.3104475,0.16187329527371055,0.1389211026,0.15011839999999999,0.6588759999999999,1.0002469687705644,4304.79133452229,6951.923608686343
deg_2,0.29730296425,0.2759395,0.10364385785088454,0.08801232510000001,0.17246795,0.496479,1.0002575913989418,4455.27687083333,7008.989439265442
k_2,0.5392311755,0.5404605,0.09401707975358739,0.09310950390000006,0.38112155000000003,0.6913179999999999,1.0003984794063498,8440.378672985189,7221.03367913859
S0,0.4082516011875,0.40800349999999996,0.037436334485702105,0.037571307900000024,0.34703629999999996,0.47006325,1.0001881472196072,6643.6563306016,7075.644212232836
"y_hat1[1,1]",0.39034472925,0.3901575,0.035902904503884614,0.036143564099999956,0.3319238500000001,0.44964754999999995,1.0002565708219027,6722.2564493798845,6989.823300944446
"y_hat1[2,1]",0.2497959375,0.24916,0.028694470844167576,0.028705359900000005,0.20314654999999998,0.29777715,1.000285302994704,7649.042418777787,7507.425585394697
"y_hat1[3,1]",0.1604669001875,0.15986050000000002,0.025510078538922492,0.025815031199999994,0.11914575,0.20341259999999997,1.0003718410315314,8160.753862336088,8350.230706565742
"y_hat1[4,1]",0.10346732358125,0.1024835,0.02179245548252223,0.022116092460000004,0.06912201,0.14089454999999998,1.0002746750707607,8335.69727137107,8591.065285006733
"y_hat1[5,1]",0.06695688673125,0.06576209999999999,0.01775334779172003,0.017934641550000015,0.039799785,0.09789028999999999,1.0002120606416502,8386.375542578904,8787.208308800902
"y_hat1[6,1]",0.043483051034375,0.042228749999999995,0.013960829113485049,0.013990110119999993,0.02287279,0.06813909499999998,1.0002862699483628,8395.614248588192,8903.259244164494
"y_hat1[7,1]",0.0283359815475,0.0270672,0.010708396909038555,0.010606520399999998,0.013107245,0.04760865,1.0002516700782078,8386.4065758951,9037.733894950394
"y_hat1[8,1]",0.018527317538125,0.01734355,0.008070181036477365,0.0077946953699999984,0.0075386795,0.03330038,1.00019182181676,8373.257001739512,8985.460033443123
"y_hat1[9,1]",0.0121536294191875,0.0111262,0.006005654843011591,0.0056312632110000005,0.004310693,0.023227695,1.0001773414993151,8362.827653409413,9112.942430317262
"y_hat1[10,1]",0.0079980597973125,0.007128845,0.004428688140877812,0.004018950537,0.0024728140000000003,0.01629698,1.0001349409195432,8349.990906016139,9067.782365170586
"y_hat1[1,2]",0.421759421625,0.421782,0.03630448233456795,0.03657500069999997,0.3618287,0.48086104999999996,1.0004310921035606,5226.24930143368,7160.20568391641
"y_hat1[2,2]",1.1201134193125,1.11999,0.04994432206955738,0.0501860099999999,1.03754,1.2009105,0.9999741868564105,12398.377308565665,12199.38841513731
"y_hat1[3,2]",0.8531064371875,0.8533040000000001,0.03801633005823449,0.0382888863,0.7900566,0.9158493999999999,1.000008446160127,8771.509540929983,11420.57410657934
"y_hat1[4,2]",0.6543642058125,0.6544775,0.02876777492699243,0.02881581359999993,0.6065691,0.70105635,1.000026856206919,10696.662733941315,11021.582200229956
"y_hat1[5,2]",0.5261330585,0.526117,0.02356541876966256,0.023790540899999945,0.4873938,0.5648476,1.0002216870511005,14414.019849396154,11866.40698271867
"y_hat1[6,2]",0.44390934575,0.44368450000000004,0.021519590944279295,0.021620755799999936,0.4086409,0.4797949,1.0002261725077792,11953.814499015341,11479.981970523448
"y_hat1[7,2]",0.3910332745625,0.390393,0.022801136916708153,0.022873552799999995,0.3543588,0.42988725000000005,1.0002738217690212,7907.072177817812,10554.797332299102
